Confidence,Support,COUNT,TYPE
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT,TYPE
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT_CC,NonLiteral
Confidence,Support,COUNT_LC,Literal
 > 1.0%, > 1.0,33,NonLiteral
 > 1.0%, > 1.0,32,Literal
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT,TYPE
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT_CC,NonLiteral
Confidence,Support,COUNT_LC,Literal
 > 1.0%, > 1.0,33,NonLiteral
 > 1.0%, > 1.0,32,Literal
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT_CC,NonLiteral
Confidence,Support,COUNT_LC,Literal
 > 1.0%, > 1.0,33,NonLiteral
 > 1.0%, > 1.0,32,Literal
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT,TYPE
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT_CC,NonLiteral
Confidence,Support,COUNT_LC,Literal
 > 1.0%, > 1.0,33,NonLiteral
 > 1.0%, > 1.0,32,Literal
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT_CC,NonLiteral
Confidence,Support,COUNT_LC,Literal
 > 1.0%, > 1.0,33,NonLiteral
 > 1.0%, > 1.0,32,Literal
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT_CC,NonLiteral
Confidence,Support,COUNT_LC,Literal
 > 1.0%, > 1.0,33,NonLiteral
 > 1.0%, > 1.0,32,Literal
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
Confidence,Support,COUNT,TYPE
 > 10.0%, > 100,0,NonLiteral
 > 10.0%, > 100,0,Literal
